pid,cell,state,notes_usage
566feba6b937e400052d33b2,"{""name"":""EREC""}",completed,"No, I did not use any notes."
5769a352f48c3b00016737f9,"{""name"":""EREC""}",completed,"No, I did not use any notes."
5838861383a1cc0001f3f258,"{""name"":""EREC""}",completed,"No, I did not use any notes."
58404fd8ad98e40001ce915f,"{""name"":""EREC""}",completed,"No, I did not use any notes."
5dc0e5d927d0520845f47856,"{""name"":""EREC""}",completed,"No, I did not use any notes."
5e6a923f59a3bd04d5edc606,"{""name"":""EREC""}",started,
5e909d6c5321c13abee11725,"{""name"":""EREC""}",completed,"No, I did not use any notes."
5ee4c4b42c280d1cd26cfe3d,"{""name"":""EREC""}",completed,"No, I did not use any notes."
5f98099d48060d0450394002,"{""name"":""EREC""}",completed,"No, I did not use any notes."
5faefcc22be93b11829e84df,"{""name"":""EREC""}",completed,"No, I did not use any notes."
601c277aabe00c6bc759bf69,"{""name"":""EREC""}",completed,"No, I did not use any notes."
60a1e1f4a3707c983a98f185,"{""name"":""EREC""}",completed,"No, I did not use any notes."
60fcb280d58f26d33cb004a6,"{""name"":""EREC""}",completed,"No, I did not use any notes."
615921b85071b9caef6148d8,"{""name"":""EREC""}",completed,"No, I did not use any notes."
62db2644ab0a3a353c0dcb54,"{""name"":""EREC""}",completed,"No, I did not use any notes."
63034df51d918e1e3b97e5ce,"{""name"":""EREC""}",started,
631610af8e747093cd90e00d,"{""name"":""EREC""}",completed,"No, I did not use any notes."
651090beae417ded35c4ef2f,"{""name"":""EREC""}",started,
657daec012d4254e4dc6f89f,"{""name"":""EREC""}",started,
659d874e294242ce3de681c8,"{""name"":""EREC""}",completed,"No, I did not use any notes."
65e1f75ab3efd22e847cfbf0,"{""name"":""EREC""}",started,
6634e0e2300e0d377e2cf876,"{""name"":""EREC""}",completed,"No, I did not use any notes."
6637ab2fc7718b737f6c33c0,"{""name"":""EREC""}",completed,"No, I did not use any notes."
665a1158d75699007466a154,"{""name"":""EREC""}",completed,"No, I did not use any notes."
665c3ea072dfed905f1465a8,"{""name"":""EREC""}",completed,"No, I did not use any notes."
6672fb66728df1edb72c1568,"{""name"":""EREC""}",completed,"No, I did not use any notes."
66821bd8c0252a33b4c4390f,"{""name"":""EREC""}",completed,"No, I did not use any notes."
66eeda2bc7d6e9b92b4a81c0,"{""name"":""EREC""}",completed,"No, I did not use any notes."
66f02f508e8473f0362ed99e,"{""name"":""EREC""}",completed,"No, I did not use any notes."
66f46179fa81f408915abaaa,"{""name"":""EREC""}",completed,"No, I did not use any notes."
66fb2807d1e97e5f9a52bc84,"{""name"":""EREC""}",started,
6742d74e9f7b3b029a3791a6,"{""name"":""EREC""}",started,
67439be8ee2236a7c078d523,"{""name"":""EREC""}",completed,"No, I did not use any notes."
67c9a591ee61ca04b1eddb65,"{""name"":""EREC""}",completed,"No, I did not use any notes."
67d0a57b0a4981c5e65c3bcc,"{""name"":""EREC""}",completed,"No, I did not use any notes."
67d8c1d226d3c8cb84cea52e,"{""name"":""EREC""}",completed,"No, I did not use any notes."
67e4c4b8c49f4b9a84e4c155,"{""name"":""EREC""}",completed,"No, I did not use any notes."
67eaf7ac600979b62eedb17c,"{""name"":""EREC""}",completed,"No, I did not use any notes."
85J8N3C0A7172Z617g64F634,"{""name"":""EREC""}",started,
85JAN380A71h29m17gI496P4,"{""name"":""EREC""}",started,
